domaine	rejeter	accepter
Réservations	Bibliothèque Marguerite-d’Youville	Marguerite-d'Youville
Réservations	Bibliothèque Thérèse-Gouin-Décarie	Thérèse-Gouin-Décarie
Réservations	Bibliothèque d'aménagement	Aménagement
Réservations	Bibliothèque de droit	Droit
Réservations	Bibliothèque de kinésiologie	Kinésiologie
Réservations	Bibliothèque de la santé	Santé
Réservations	Bibliothèque de mathématiques et informatique	Mathématiques et informatique
Réservations	Bibliothèque de musique	Musique
Réservations	Bibliothèque de médecine vétérinaire	Médecine vétérinaire
Réservations	Bibliothèque des lettres et sciences humaines	Lettres et sciences humaines
Réservations	Bibliothèque des sciences	Hubert-Reeves
Réservations	Bibliothèque Hubert-Reeves (anciennement Sciences)	Hubert-Reeves
Réservations	Bibliothèque Hubert-Reeves	Hubert-Reeves
Réservations	Bibliothèque du Parc	Parc
Réservations	Campus de Laval	Campus de Laval
Réservations    studio·bib  Studio·bib
Fréquentation	am	Aménagement
Fréquentation	antenne-paramedicale	Parc
Fréquentation	dr	Droit
Fréquentation	ed	Thérèse-Gouin-Décarie
Fréquentation	ki	Kinésiologie
Fréquentation	laval	Campus de Laval
Fréquentation	mi	Mathématiques et informatique
Fréquentation	mu	Musique
Fréquentation	mv	Médecine vétérinaire
Fréquentation	pa	Marguerite-d'Youville
Fréquentation	sa	Santé
Fréquentation	sciences	Hubert-Reeves
Fréquentation	ss	Lettres et sciences humaines
Ordinateurs	7077 Avenue du Parc	Parc
Ordinateurs	Aménagement	Aménagement
Ordinateurs	Centre de conservation	CC Lionel-Groulx
Ordinateurs	Droit	Droit
Ordinateurs	EPC-BIO	Thérèse-Gouin-Décarie
Ordinateurs	Kinésiologie	Kinésiologie
Ordinateurs	LSH	Lettres et sciences humaines
Ordinateurs	Laval	Campus de Laval
Ordinateurs	Math-Info	Mathématiques et informatique
Ordinateurs	Musique	Musique
Ordinateurs	Médecine Vétérinaire	Médecine vétérinaire
Ordinateurs	Optométrie	Optométrie
Ordinateurs	Paramédicale	Marguerite-d'Youville
Ordinateurs	Santé	Santé
Ordinateurs	Sciences	Hubert-Reeves
Emprunts	Centre de conservation 101, boul. Marcel-Laurin	Centre de conservation 101 Marcel-Laurin
Emprunts	Bibliothèque de l'Université de Montréal	Université de Montréal
Emprunts	Bibliothèque de l'Université du Québec à Rimouski	Université du Québec à Rimouski
Emprunts	Bibliothèque de l'Université du Québec à Trois-Rivières	Université du Québec à Trois-Rivières
Emprunts	Bibliothèque HEC Montréal	HEC Montréal
Emprunts	Bishop's University Library Learning Commons	Bishop's University
Emprunts	Concordia University Library	Concordia University
Emprunts	McGill University Library	McGill University
Emprunts	Université de Sherbrooke - Service des bibliothèques et archives	Université de Sherbrooke
Emprunts	Université Laval, Bibliothèque	Université Laval
Emprunts	Antenne 7077 du Parc	Parc
Emprunts	Prêt entre bibliothèques	Prêt entre bibliothèques
Emprunts	Aménagement	Aménagement
Emprunts	Bibliothèque extérieure	Bibliothèque extérieure
Emprunts	Campus de Brossard	Campus de Brossard
Emprunts	Campus de Laval	Campus de Laval
Emprunts	Centre de conservation Lionel-Groulx	Centre de conservation Lionel-Groulx
Emprunts	Dépôt Youville	Dépôt Youville
Emprunts	Droit	Droit
Emprunts	Kinésiologie	Kinésiologie
Emprunts	Lettres et sciences humaines	Lettres et sciences humaines
Emprunts	Livres rares et collections spéciales	Livres rares et collections spéciales
Emprunts	Marguerite-d'Youville	Marguerite-d'Youville
Emprunts	Mathématiques et informatique	Mathématiques et informatique
Emprunts	Médecine vétérinaire	Médecine vétérinaire
Emprunts	Musique	Musique
Emprunts	Santé	Santé
Emprunts	Sciences	Hubert-Reeves
Emprunts	Thérèse-Gouin-Décarie	Thérèse-Gouin-Décarie
Emprunts	Traitement et métadonnées	Traitement et métadonnées
Emprunts	Jardin Botanique	Jardin botanique
Emprunts	Unknown	Inconnue
