code;nom;discipline
068B03;UdeM Intl - Aff.Inter -Coop;Indéterminé
606A00;CRM;Mathématiques
609A00;CICC;Criminologie
999999;Non-determine;Indéterminé
A100A0;F de l'aménag - Direction;Aménagement
A200A0;F de l'aménag - Architecture;Aménagement
A400A0;F de l'aménag- École de design;Aménagement
A500A0;F de l'aménag-Urb-Arc paysage;Aménagement
B200A0;FMD - Santé buccale;Médecine dentaire
B300A0;FMD - Dent restauration;Médecine dentaire
B400A0;FMD - Départ. de stomatologie;Médecine dentaire
C000A0;Faculté de droit;Droit
C000A1;Faculté de droit notarial;Droit
C000F0;F droit - Adm dev qual progr;Droit
C010A0;F droit - CRDP;Droit
D100A0;FMED - Direction;Médecine
D100D0;FMED - VD études 1er cycle;Médecine
D100E1;FMED-VD dév compétences prof;Médecine
D100I0;FMED - VD Camp UM Mauricie;Médecine
D201A0;FMED - Anesthé-med-douleur;Médecine
D202A0;FMED - Chirurgie;Médecine
D203A0;FMED - Médecine;Médecine
D204A0;FMED - Méd fam & urgence;Médecine
D205A0;FMED - Obst-gynéco;Médecine
D206A0;FMED - Ophtalmologie;Médecine
D207A0;FMED - Pédiatrie;Médecine
D208A0;FMED-Psychiatrie-addict;Médecine
D209A0;FMED - Radio, r-onco & nucl;Médecine
D401A0;FMED - Nutrition;Nutrition
D402A0;FMED - Réadaptation;Réadaptation
D402B0;FMED - Réad/Physio/E clin;Réadaptation
D402C0;FMED - Réadap - Ergo;Réadaptation
D403A0;FMED - Orthophonie & audi;Orthophonie et audiologie
D404A0;FMED - EKSAP;Kinésiologie
D501A0;FMED - Biochimie & méd mol;Médecine
D502A0;FMED - Microbio, infec, imm;Médecine
D503A0;FMED - Patho & bio cell;Médecine
D506A0;FMED - Pharmaco et physio;Médecine
D507A0;FMED - Neurosciences;Médecine
D507C0;FMED - Neurosciences -GR SNC;Médecine
G100A0;FMV - Direction;Médecine vétérinaire
G200A0;FMV - Biomédecine vét;Médecine vétérinaire
